COMPANY,SYMBOL,BOOK VALUE,CHANGE,D/SHARE,EPS,EPS(CUR),EPS(NQ),EPS(NY),DAY LOW,DAY HIGH,52 LOW,52 HIGH,M. CAP,P/SALE,P/BOOK,DIV RATE,P/E,DIV DATE,PEG
Twenty-First Cent,FOXA,7.339,0.1939,0.2001,3.03,1.55,0.38,1.92,32.87,33.29,20.2915,33.84,N/A,2.74,4.47,9-Sep,N/A,16-Oct,1.42
Activision Blizza,ATVI,10.666,-0.1045,0.19,1.191,0.89,0.82,1.28,16.96,17.2701,10.45,18.43,N/A,3.84,1.6,18-Mar,N/A,15-May,1.95
Adobe Systems Inc,ADBE,13.771,0.4325,0,1.125,1.36,0.33,1.59,51.68,52.96,31.33,52.96,N/A,6.13,3.77,24-Mar-05,N/A,N/A,2.77
Akamai Technologi,AKAM,13.743,-0.0579,0,1.37,1.97,0.52,2.22,52.325,53.195,32.63,53.2,N/A,6.4,3.84,N/A,N/A,N/A,1.94
Alexion Pharmaceu,ALXN,11.328,-0.3767,0,1.754,3.04,0.86,3.34,113.47,115.58,81.82,125.65,N/A,16.85,10.07,N/A,N/A,N/A,1.47
Altera Corporatio,ALTR,10.79,-0.371,0.45,1.56,1.41,0.38,1.79,37.555,38.04,29.59,39.18,N/A,6.87,3.52,8-Aug,N/A,3-Sep,2.25
"Amazon.com, Inc.",AMZN,19.109,4.2663,0,-0.23,0.85,0.76,2.81,312.41,320.57,218.18,320.57,N/A,2.13,16.33,N/A,N/A,N/A,10.11
Amgen Inc.,AMGN,27.353,-0.3272,1.77,5.933,7.25,1.69,8.09,116.07,117.61,81.56,117.91,N/A,5,4.28,14-Aug,N/A,6-Sep,1.81
"Analog Devices, I",ADI,14.945,-0.377,1.32,2.099,2.12,0.57,2.55,47.93,48.64,37.82,50,N/A,5.67,3.24,28-Aug,N/A,11-Sep,2.07
Apple Inc.,AAPL,135.786,-4.8796,11.4,40.106,39.17,13.55,42.53,466,478.55,385.1,695.12,N/A,2.53,3.48,8-Aug,N/A,15-Aug,0.68
Applied Materials,AMAT,5.781,-0.1454,0.29,-0.367,0.59,0.24,1.11,15.89,16.24,9.95,16.78,N/A,2.7,2.78,20-Aug,N/A,12-Dec,3.03
"Autodesk, Inc.",ADSK,9.198,0.0585,0,0.959,1.75,0.49,1.94,40.68,41.13,30.2,41.72,N/A,3.99,4.45,22-Mar-05,N/A,N/A,2.46
Automatic Data Pr,ADP,12.826,-0.2467,1.74,2.886,3.16,0.77,3.5,74.36,74.88,54.02,74.95,N/A,3.19,5.82,11-Sep,N/A,1-Oct,2.44
Avago Technologie,AVGO,10.992,0.8487,0.8,2.15,2.82,0.77,3.3,40.83,42.58,30.5,42.58,N/A,4.21,3.71,17-Sep,N/A,30-Sep,1.45
"Baidu, Inc.",BIDU,14.246,-1.4402,0,4.782,4.99,1.34,6.23,145.56,149.14,82.98,149.74,N/A,12.4,10.37,N/A,N/A,N/A,1.43
Bed Bath & Beyond,BBBY,18.728,-0.1184,0,4.615,5.02,1.12,5.6,75.12,76.64,54.33,78.25,N/A,1.43,4.04,N/A,N/A,N/A,1.31
Biogen Idec Inc.,BIIB,33.246,0.1494,0,6.751,8.58,2.22,10.96,246.05,248.75,134,248.95,N/A,9.92,7.46,N/A,N/A,N/A,1.5
Broadcom Corporat,BRCM,13.637,0.0058,0.43,0.722,2.65,0.62,2.73,27.32,28.23,23.25,37.85,N/A,1.95,2,28-Aug,N/A,16-Sep,0.74
C.H. Robinson Wor,CHRW,9.385,0.4624,1.4,3.657,2.8,0.72,3.18,61.45,62.46,53.74,67.93,N/A,0.81,6.57,4-Sep,N/A,30-Sep,1.76
CA Inc.,CA,12.496,0.00 - 0.00%,1,2.289,2.98,0.76,2.54,30.66,30.995,21.48,31.43,N/A,3.03,2.46,20-Aug,N/A,10-Sep,0.82
Catamaran Corpora,CTRX,23.032,-2.4716,0,0.866,1.9,0.51,2.46,48.8778,52.35,45.43,58.73,N/A,0.82,2.26,N/A,N/A,N/A,0.96
Celgene Corporati,CELG,13.15,1.329,0,3.576,5.97,1.55,7.21,148.11,151.95,71.23,151.95,N/A,10.3,11.29,N/A,N/A,N/A,1.14
Cerner Corporatio,CERN,8.603,-0.049,0,1.23,1.41,0.39,1.65,49.7,50.25,33.82,50.85,N/A,6.31,5.8,N/A,N/A,N/A,2.06
Charter Communica,CHTR,0.601,0.6054,0,-2.646,-0.7,0.34,2.35,133.29,134.85,67.06,137.29,N/A,1.76,221.68,N/A,N/A,N/A,N/A
Check Point Softw,CHKP,17.398,0.8746,0,3.063,3.41,0.96,3.7,57.6725,58.69,40.6,59.49,N/A,8.3,3.31,N/A,N/A,N/A,1.83
"Cisco Systems, In",CSCO,10.97,-0.1007,0.62,1.86,2.09,0.52,2.25,24.43,24.75,16.68,26.49,N/A,2.72,2.24,1-Jul,N/A,23-Oct,1.29
"Citrix Systems, I",CTXS,17.54,-0.2467,0,1.67,3.1,1.09,3.54,75.94,77.16,56.57,78.65,N/A,5.14,4.35,N/A,N/A,N/A,1.79
Cognizant Technol,CTSH,17.668,-0.3359,0,3.752,3.98,1.04,4.68,82.25,83.35,60.92,84.17,N/A,3.1,4.68,N/A,N/A,N/A,1.12
Comcast Corporati,CMCSA,18.702,-0.0098,0.716,2.533,2.44,0.67,2.82,44.33,44.82,34.94,46.33,N/A,1.82,2.37,1-Jul,N/A,23-Oct,0.99
Costco Wholesale ,COST,23.981,-1.2494,8.17,4.623,4.56,1.05,5.05,117.61,119.45,93.51,120.2,N/A,0.5,4.97,7-Aug,N/A,23-Aug,1.94
Dell Inc.,DELL,6.133,0.0139,0.32,0.767,0.95,0.26,1.12,13.86,13.9,8.69,14.64,N/A,0.43,2.26,27-Jun,N/A,22-Jul,2.43
DENTSPLY Internat,XRAY,15.824,-0.2248,0.236,2.349,2.35,0.61,2.58,43.96,44.42,35.83,45.37,N/A,2.14,2.8,26-Jun,N/A,11-Oct,1.71
DIRECTV,DTV,-11.03,0.1476,0,4.803,4.67,1.27,5.75,62.87,63.99,47.71,67.85,N/A,1.13,N/A,N/A,N/A,N/A,1.15
Discovery Communi,DISCA,17.51,0.0395,0,2.6,3.13,0.94,4.04,81.16,82.62,54.89,89.58,N/A,5.99,4.67,N/A,N/A,N/A,1.22
"Dollar Tree, Inc.",DLTR,8.188,-0.4806,0,2.83,2.83,1.08,3.33,57.85,58.68,37.12,58.69,N/A,1.7,7.14,N/A,N/A,N/A,1.23
eBay Inc.,EBAY,16.732,0.4908,0,2.03,2.71,0.83,3.18,54.54,55.25,45.66,58.04,N/A,4.69,3.25,N/A,N/A,N/A,1.37
"Equinix, Inc.",EQIX,46.819,0.736,0,1.656,1.51,0.83,3.94,183.25,184.929,163.73,231.56,N/A,4.44,3.91,N/A,N/A,N/A,4.8
"Expedia, Inc.",EXPE,16.389,-0.2944,0.54,1.044,3.1,0.85,3.57,52.79,54.03,45.69,68.09,N/A,1.65,3.24,26-Aug,N/A,18-Sep,1.56
Expeditors Intern,EXPD,10.274,-0.1164,0.58,1.651,1.78,0.47,2.02,44.8,45.4,34.2,45.48,N/A,1.55,4.37,30-May,N/A,17-Jun,2.15
Express Scripts H,ESRX,29.313,0.1082,0,2.174,4.31,1.12,4.94,61.89,62.5,49.79,67.66,N/A,0.47,2.11,N/A,N/A,N/A,0.95
"F5 Networks, Inc.",FFIV,19.005,0.5124,0,3.39,4.52,1.19,5.1,93.33,94.66,67.53,111,N/A,5.03,4.9,N/A,N/A,N/A,1.48
"Facebook, Inc.",FB,5.112,1.4772,0,0.221,0.72,0.22,0.96,45.74,47.6,18.8,47.6,N/A,18.3,8.99,N/A,N/A,N/A,2.1
Fastenal Company,FAST,5.747,-0.8039,1.06,1.47,1.56,0.38,1.81,50.13,51.34,40,53.38,N/A,4.71,8.87,24-Jul,N/A,23-Aug,2.04
"Fiserv, Inc.",FISV,26.415,-0.101,0,4.336,5.99,1.65,6.66,101.13,102.6,72.19,103.21,N/A,2.85,3.86,N/A,N/A,N/A,1.43
"Fossil Group, Inc",FOSL,19.906,0.1091,0,6.13,6.3,2.6,7.17,117.5,119.16,78.75,129.25,N/A,2.22,5.95,N/A,N/A,N/A,1.35
Garmin Ltd.,GRMN,17.235,-1.3395,1.8,2.7,2.4,0.65,2.44,43.51,45.02,32.52,45.33,N/A,3.29,2.61,12-Sep,N/A,30-Sep,3.36
"Gilead Sciences, ",GILD,7.255,-0.4528,0,1.787,1.97,0.5,3.01,63.8,64.48,32.07,64.74,N/A,9.55,8.87,N/A,N/A,N/A,1.29
